tweet,cleaned_tweet,keywords
“Delta 8 is like diet weed”,delta  is like diet weed,"delta, diet, like, weed"
running on Delta 8 feels like I'm trying to run through a waist high pool of gelatin,running on delta  feels like im trying to run through a waist high pool of gelatin,"delta, feels, gelatin, high, im, like, pool, run, running, trying, waist"
I been on delta 8 for a min. It’s a comfy vibe. But today she had 9...baybeee listen. Today finna be schweet!,i been on delta  for a min its a comfy vibe but today she had baybeee listen today finna be schweet,"baybeee, comfy, delta, finna, listen, min, schweet, today, vibe"
" Delta 8 might get your seltzer drinking asses high, not me. Keep that shit to yourself.", delta  might get your seltzer drinking asses high not me keep that shit to yourself,"asses, delta, drinking, high, seltzer, shit"
my roommate got some delta 8 gummies from the smoke shop and i might go back before it closes to get more bc this shit WOW,my roommate got some delta  gummies from the smoke shop and i might go back before it closes to get more bc this shit wow,"bc, closes, delta, got, gummies, roommate, shit, shop, smoke, wow"
Legalize weed please because delta 8 is literally the only thing that has helped with my joint pain and maybe if actual weed was legal I would have more options for pain management,legalize weed please because delta  is literally the only thing that has helped with my joint pain and maybe if actual weed was legal i would have more options for pain management,"actual, delta, helped, joint, legal, legalize, literally, management, maybe, options, pain, thing, weed"
If this is you stop in for some treatment options and products. CBD and Delta 8 will help as well as a good joint compound supplement. #painmanagement #jointpain #cbd #delta8 #reiki #MagnetTherapy #lighttherapy #pittsburgh #southhills,if this is you stop in for some treatment options and products cbd and delta  will help as well as a good joint compound supplement painmanagement jointpain cbd delta reiki magnettherapy lighttherapy pittsburgh southhills,"cbd, compound, delta, good, help, joint, jointpain, lighttherapy, magnettherapy, options, painmanagement, pittsburgh, products, reiki, southhills, stop, supplement, treatment"
" Saline IV, 1000ml Face with tears of joy. If you can’t get that, then some delta 8, at the CBD shop. Cures the headache part like bam, goes right away.", saline iv ml face with tears of joy if you cant get that then some delta  at the cbd shop cures the headache part like bam goes right away,"away, bam, cbd, cures, delta, face, goes, headache, iv, joy, like, ml, right, saline, shop, tears"
" I have 3 Juuls on me at any time lmao but only Virginia tobacco and I heard you're a menthol boy. 
Delta 8 is basically legal mid-range weed.", i have  juuls on me at any time lmao but only virginia tobacco and i heard youre a menthol boy delta  is basically legal midrange weed,"basically, boy, delta, heard, juuls, legal, lmao, menthol, midrange, time, tobacco, virginia, weed, youre"
Just checked and delta 8 isn’t kosher in MS either. Been a game changer for my sleep and recovery.,just checked and delta  isnt kosher in ms either been a game changer for my sleep and recovery,"changer, checked, delta, game, isnt, just, kosher, ms, recovery, sleep"
I just discovered delta 8 gummies.  They are legal here and I sleep and feel so much better.  I do t care what people think.  It’s my body and my health and these help so much,i just discovered delta  gummies  they are legal here and i sleep and feel so much better  i do t care what people think  its my body and my health and these help so much,"better, body, care, delta, discovered, feel, gummies, health, help, just, legal, people, sleep, think"
Bro some cbd delta 8 gummies would go soo crazy this morning,bro some cbd delta  gummies would go soo crazy this morning,"bro, cbd, crazy, delta, gummies, morning, soo"
" So yeah, DELTA-8? A scientific miracle or what?", so yeah delta a scientific miracle or what,"delta, miracle, scientific, yeah"
" Dude, I'm gonna go get some Delta-8 THC gummies today.  Time for some chill drawing time.  (Weed isn't legal in Wisconsin, but CBD, Delta-8 and Delta-10 THC is.  So I use whats I can gets)", dude im gonna go get some delta thc gummies today  time for some chill drawing time  weed isnt legal in wisconsin but cbd delta and delta thc is  so i use whats i can gets,"cbd, chill, delta, drawing, dude, gets, gonna, gummies, im, isnt, legal, thc, time, today, use, weed, whats, wisconsin"
That Delta 8 gummy had me on the ropes earlier today... Thought it was my time..,that delta  gummy had me on the ropes earlier today thought it was my time,"delta, earlier, gummy, ropes, thought, time, today"
I don't trust the Delta 8 market yet. Someone I was visiting had some d8 gummies so they gave me some for sitting around in the airport I ate 300 mg of Delta 8 THC before I got to the airport and I've been sober as fuck all day.,i dont trust the delta  market yet someone i was visiting had some d gummies so they gave me some for sitting around in the airport i ate  mg of delta  thc before i got to the airport and ive been sober as fuck all day,"airport, ate, day, delta, dont, fuck, gave, got, gummies, ive, market, mg, sitting, sober, thc, trust, visiting"
A great post for all : The FDA Warns Consumers of the Risks Associated with Delta-8 THC Products,a great post for all  the fda warns consumers of the risks associated with delta thc products,"associated, consumers, delta, fda, great, post, products, risks, thc, warns"
" Dont do what I did. I overdid it too. Did it with Kratom and then Delta 8. Threw up crazy bad for 2 days on the first one, and had a very bad trip on the second. Just need the jays I smoked back in college many, many years ago. And today I'd probably vape them.", dont do what i did i overdid it too did it with kratom and then delta  threw up crazy bad for  days on the first one and had a very bad trip on the second just need the jays i smoked back in college many many years ago and today id probably vape them,"ago, bad, college, crazy, days, delta, did, dont, id, jays, just, kratom, need, overdid, probably, second, smoked, threw, today, trip, vape, years"
" can’t believe i just learned about delta 8, its pretty enjoyable stuff", cant believe i just learned about delta  its pretty enjoyable stuff,"believe, delta, enjoyable, just, learned, pretty, stuff"
that delta 8 is actually ight tho lol. i fw it.,that delta  is actually ight tho lol i fw it,"actually, delta, fw, ight, lol, tho"
A few studies came out about how dangerous the Delta 8 stuff is and how unlike regular cannabis you can have an adverse reaction and die,a few studies came out about how dangerous the delta  stuff is and how unlike regular cannabis you can have an adverse reaction and die,"adverse, came, cannabis, dangerous, delta, die, reaction, regular, studies, stuff, unlike"
Delta-8 THC Ban Nearly Added to Outdoor Cannabis Farming Bill,delta thc ban nearly added to outdoor cannabis farming bill,"added, ban, cannabis, delta, farming, nearly, outdoor, thc"
" Investment bankers, CFOs, and treasurers coming into my store and dropping hundreds of dollars on delta 8 shit and kratom what the fuck is this city", investment bankers cfos and treasurers coming into my store and dropping hundreds of dollars on delta  shit and kratom what the fuck is this city,"bankers, cfos, city, coming, delta, dollars, dropping, fuck, hundreds, investment, kratom, shit, store, treasurers"
" If your sober try the delta 8 , or Delta 10 gummies. They’re only 3-5% thc and they really work! I’d pry go for one of the “indicas” cuz some of the sativas will actually give you energy", if your sober try the delta   or delta  gummies theyre only  thc and they really work id pry go for one of the indicas cuz some of the sativas will actually give you energy,"actually, cuz, delta, energy, gummies, id, indicas, pry, really, sativas, sober, thc, theyre, try, work"
Delta 8 is garbage,delta  is garbage,"delta, garbage"
" Basically everything, lmao. Rn I’m tryna figure out how to see the weed man before work and not seem sus to my mom. I tried these delta 8 cartridges the other day and they didn’t slap like the real shit so I’m just like “fuck sobriety” at this point", basically everything lmao rn im tryna figure out how to see the weed man before work and not seem sus to my mom i tried these delta  cartridges the other day and they didnt slap like the real shit so im just like fuck sobriety at this point,"basically, cartridges, day, delta, didnt, figure, fuck, im, just, like, lmao, man, mom, point, real, rn, shit, slap, sobriety, sus, tried, tryna, weed, work"
" delta 8 is the g-spot of weed that i never knew i needed. no anxiety, relaxed, and motivated.", delta  is the gspot of weed that i never knew i needed no anxiety relaxed and motivated,"anxiety, delta, gspot, knew, motivated, needed, relaxed, weed"
down bad last night i had delta 8,down bad last night i had delta ,"bad, delta, night"
Delta 8 is super weird. I love it.,delta  is super weird i love it,"delta, love, super, weird"
delta 8 is an answered prayer,delta  is an answered prayer,"answered, delta, prayer"
