date,tweet,cleaned_tweet,keywords,polarity,subjectivity
Aug 22,so delta 8 is pretty much indica and delta 10 is sativa and delta 9 still illegal,so delta  is pretty much indica and delta  is sativa and delta  still illegal,"delta, illegal, indica, pretty, sativa",-0.016666666666666663,0.5666666666666667
Aug 22,them delta 8 edibles ain’t no jokeeee,them delta  edibles aint no jokeeee,"aint, delta, edibles, jokeeee",0.0,0.0
Aug 22,"I am opioid dependent. No, not abuser. I have chronic pain. I want to microdose psilocybin and delta-8, but thanks to federal and state guidelines I'm not allowed to or I will lose my health care. Being sick fucking sucks. I wish we had actual options.",i am opioid dependent no not abuser i have chronic pain i want to microdose psilocybin and delta but thanks to federal and state guidelines im not allowed to or i will lose my health care being sick fucking sucks i wish we had actual options,"abuser, actual, allowed, care, chronic, delta, dependent, federal, fucking, guidelines, health, im, lose, microdose, opioid, options, pain, psilocybin, sick, state, sucks, thanks, want, wish",-0.20357142857142857,0.3642857142857143
Aug 22,What is Delta-8 you may ask? A Perfect Neutral Place,what is delta you may ask a perfect neutral place,"ask, delta, neutral, perfect, place",1.0,1.0
Aug 22,And delta-8 sounds like something bad but it's just weed lite basically. Does more than CBD but slightly less than regular weed.,and delta sounds like something bad but its just weed lite basically does more than cbd but slightly less than regular weed,"bad, basically, cbd, delta, does, just, like, lite, regular, slightly, sounds, weed",-0.09166666666666662,0.3275641025641025
Aug 22,"they sell several kinds at peace street market! I also like delta 8 seltzers, I buy mine at Raleigh hemp company as an occasional splurge",they sell several kinds at peace street market i also like delta  seltzers i buy mine at raleigh hemp company as an occasional splurge,"buy, company, delta, hemp, kinds, like, market, occasional, peace, raleigh, sell, seltzers, splurge, street",0.0,0.0625
Aug 22,As an avid mary jane lover I can confirm delta 8 is whack,as an avid mary jane lover i can confirm delta  is whack,"avid, confirm, delta, jane, lover, mary, whack",0.25,1.0
Aug 22,Leafly: Find out the word on the street from @moonwlkrthc devotees on how delta-8 is helping some people find a better night’s sleep & get your hands on a free sample pack of delta-8 gummies. #ad,leafly find out the word on the street from moonwlkrthc devotees on how delta is helping some people find a better nights sleep  get your hands on a free sample pack of delta gummies ad,"ad, better, delta, devotees, free, gummies, hands, helping, leafly, moonwlkrthc, nights, pack, people, sample, sleep, street, word",0.45,0.65
Aug 23,"Scientists are simply not worried about delta 8, it's completely fine. They're only worried about the byproducts of delta 8 synthesis, which is necessary to concentrate it enough",scientists are simply not worried about delta  its completely fine theyre only worried about the byproducts of delta  synthesis which is necessary to concentrate it enough,"byproducts, completely, concentrate, delta, fine, necessary, scientists, simply, synthesis, theyre, worried",0.08333333333333334,0.6714285714285715
Aug 23,Honestly i get more high off a delta 8 cart than the weed that grows around here,honestly i get more high off a delta  cart than the weed that grows around here,"cart, delta, grows, high, honestly, weed",0.42,0.6466666666666666
Aug 23,delta 8 is life changing dude,delta  is life changing dude,"changing, delta, dude, life",0.0,0.0
Aug 23,these delta 8 gummies make even the most bland food taste amazing,these delta  gummies make even the most bland food taste amazing,"amazing, bland, delta, food, gummies, make, taste",0.31111111111111117,0.7444444444444445
Aug 23,I've ate some delta 8 edibles and it was pretty alright. Prefer normal weed.,ive ate some delta  edibles and it was pretty alright prefer normal weed,"alright, ate, delta, edibles, ive, normal, prefer, pretty, weed",0.2,0.825
Aug 23,"Delta 8 gummies get me right, guaranteed good sleep coming afterwards",delta  gummies get me right guaranteed good sleep coming afterwards,"coming, delta, good, guaranteed, gummies, right, sleep",0.4928571428571428,0.5678571428571428
Aug 23,Im officially a fan of CBD and Delta 8….im on the band wagon lol,im officially a fan of cbd and delta im on the band wagon lol,"band, cbd, delta, fan, im, lol, officially, wagon",0.8,0.7
Aug 23,Ate a bunch on delta 8 and no effect… Texas y’all weak af,ate a bunch on delta  and no effect texas yall weak af,"af, ate, bunch, delta, effect, texas, weak, yall",-0.375,0.625
Aug 23,I think I want more delta 8 gummies,i think i want more delta  gummies,"delta, gummies, think, want",0.5,0.5
Aug 24,delta 8 gummies hit harder than delta 9 most of the time,delta  gummies hit harder than delta  most of the time,"delta, gummies, harder, hit, time",0.2,0.25
Aug 24,I do not like smoking delta 8 anymore,i do not like smoking delta  anymore,"anymore, delta, like, smoking",0.0,0.0
Aug 24,ok delta-8 ain't too damn bad,ok delta aint too damn bad,"aint, bad, damn, delta, ok",-0.09999999999999992,0.5833333333333333
Aug 24,Delta-8 THC has essentially made store bought weed legal in all 50 states. That is crazy to me.,delta thc has essentially made store bought weed legal in all  states that is crazy to me,"bought, crazy, delta, essentially, legal, states, store, thc, weed",-0.13333333333333333,0.4666666666666666
Aug 24,Honestly I highly recommend dropping the carts y’all buy on the streets and picking up delta 8 it’s the same shit it’s not synthetic exact same feeling. And it’s guaranteed quality like some of the carts y’all buy fake af and you know it. Idk I like it,honestly i highly recommend dropping the carts yall buy on the streets and picking up delta  its the same shit its not synthetic exact same feeling and its guaranteed quality like some of the carts yall buy fake af and you know it idk i like it,"af, buy, carts, delta, dropping, exact, fake, feeling, guaranteed, highly, honestly, idk, know, like, picking, quality, recommend, shit, streets, synthetic, yall",-0.04833333333333334,0.47333333333333333
Aug 24,"Too many people happily using delta 8, smells like it’ll get made illegal real soon",too many people happily using delta  smells like itll get made illegal real soon,"delta, happily, illegal, itll, like, people, real, smells, soon, using",0.25,0.575
Aug 24,Help me sleep. If you don’t get anything from the CBD…try Delta 8,help me sleep if you dont get anything from the cbdtry delta ,"cbdtry, delta, dont, help, sleep",0.0,0.0
Aug 24,y'all this delta-8 hits hard and i only got the 300mg version - can you imagine the mayhem if i had sprung for the 1200mg?,yall this delta hits hard and i only got the mg version  can you imagine the mayhem if i had sprung for the mg,"delta, got, hard, hits, imagine, mayhem, mg, sprung, version, yall",-0.14583333333333334,0.7708333333333333
Aug 24,Delta 8 is no longer a scam,delta  is no longer a scam,"delta, longer, scam",0.0,0.0
Aug 24,"Yes, yes you do Delta 8 is a hella good time for relaxation Just DONT eat them like candy you literally will die",yes yes you do delta  is a hella good time for relaxation just dont eat them like candy you literally will die,"candy, delta, die, dont, eat, good, hella, just, like, literally, relaxation, time, yes",0.7,0.6000000000000001
Aug 25,In 10 years they’re gonna b like “if you consumed delta 8 you may be entitled to compensation”,in  years theyre gonna b like if you consumed delta  you may be entitled to compensation,"compensation, consumed, delta, entitled, gonna, like, theyre, years",0.0,0.0
Aug 25,im addicted to gas station delta 8.,im addicted to gas station delta ,"addicted, delta, gas, im, station",-0.4,0.6
Aug 25,I love Delta 8 gummies so much,i love delta  gummies so much,"delta, gummies, love",0.35,0.4
Aug 25,STOPPP I got a delta 8 edible and just got so high and paranoid I’m shaking BRUDHDHHDJK,stoppp i got a delta  edible and just got so high and paranoid im shaking brudhdhhdjk,"brudhdhhdjk, delta, edible, got, high, im, just, paranoid, shaking, stoppp",0.16,0.5399999999999999
